q,n,pred,actual,lo,hi,gap,season
0,12676,0.40263810633867264,0.39342063742505523,0.32044827528330033,0.41992424853255794,-0.00921746891361741,2024
1,12675,0.428364304595067,0.4151479289940828,0.41992491536066007,0.4353893245858655,-0.01321637560098421,2024
2,12675,0.4408103678947715,0.43471400394477316,0.4353896268984966,0.44581342662784673,-0.006096363949998351,2024
3,12676,0.45020172176110046,0.4452508677816346,0.44581411879278765,0.4543689941601138,-0.004950853979465875,2024
4,12675,0.4581754543954473,0.4543589743589744,0.4543699026727482,0.46181540830891316,-0.0038164800364729468,2024
5,12675,0.4651094754869192,0.4617751479289941,0.4618162301577714,0.46828071194627924,-0.003334327557925121,2024
6,12676,0.4712351741532965,0.4639476175449669,0.4682814875963819,0.47408874812715973,-0.007287556608329637,2024
7,12675,0.47688159835982613,0.4670611439842209,0.4740887939171696,0.47962311575893773,-0.009820454375605248,2024
8,12675,0.48230366969686417,0.4728205128205128,0.4796235954437259,0.4849422025478723,-0.009483156876351373,2024
9,12676,0.48759292138880744,0.4869043862417166,0.484943273613215,0.49019874750671844,-0.0006885351470908296,2024
10,12675,0.4928570303420297,0.4813412228796844,0.49019875151520276,0.4954953622465901,-0.011515807462345318,2024
11,12675,0.49818533049999214,0.49364891518737675,0.49549612847478464,0.5009276321421254,-0.004536415312615394,2024
12,12675,0.503757605150114,0.49538461538461537,0.5009276832299219,0.5067044109207733,-0.008372989765498662,2024
13,12676,0.5098750242103518,0.502051120227201,0.506704477512398,0.5131693927765314,-0.007823903983150804,2024
14,12675,0.5166740922629023,0.49570019723865877,0.51316939561004,0.5203341047617018,-0.020973895024243516,2024
15,12675,0.5243075497101176,0.5169230769230769,0.5203347156294413,0.5285224581612578,-0.007384472787040686,2024
16,12676,0.5332011968711768,0.5267434521931209,0.5285226683645337,0.5382879483564269,-0.006457744678055932,2024
17,12675,0.5445922263146477,0.546508875739645,0.538288733464317,0.55158519321697,0.0019166494249973631,2024
18,12675,0.5617917439702097,0.5699408284023668,0.5515856976549758,0.5744104752327679,0.008149084432157117,2024
19,12676,0.5938472801266783,0.5984537709056484,0.5744174908885871,0.6598097007564456,0.004606490778970129,2024
