section,season,n,mean,sd,y_mean,bias,tag,BSS,Resolution,Reliability,dBSS,dResolution,dReliability,paired,paired_se,sigma,nll,params
dist,2023,245525.0,0.5010876517834272,0.047595710982497826,0.49995723449750534,0.0011304172859218364,,,,,,,,,,,,
dist,2024,253507.0,0.4921201084719745,0.045534342776147534,0.4861049201797189,0.006015188292255613,,,,,,,,,,,,
ceiling,2023,,,,,,temperature (in-sample),472.37576694993953,558.6520557829457,87.26417899524621,69.29386727567709,0.0,-67.72048039470441,68.56498570188391,10.159722689140159,6.748706416482587,0.6907821421147166,
ceiling,2023,,,,,,platt (in-sample),472.6002543994467,558.6520557829457,87.03918655726622,69.51835472518428,0.0,-67.9454728326844,68.70661392791133,10.136391170072654,6.778212558604214,0.6907807556728096,
ceiling,2023,,,,,,isotonic (in-sample),566.0257092270137,560.8738942489774,2.6234492942292872e-09,162.9438095527513,2.221838466031727,-154.98465938732718,161.9165512206531,15.106762941018358,10.71815000028975,0.6903049140554436,
ceiling,2024,,,,,,temperature (in-sample),922.8947567620937,960.2979924484024,36.928880023493804,5.725231479591912,0.0,-5.994697259223955,5.845045925021336,2.857171296863461,2.0457457106047148,0.6881262342454774,
ceiling,2024,,,,,,platt (in-sample),934.9009478157421,960.2979924484024,24.998293095998918,17.731422533240334,0.0,-17.92528418671884,18.18330642951216,5.087358084185635,3.5742139885997184,0.6880663126502453,
ceiling,2024,,,,,,isotonic (in-sample),972.3722537172574,963.6753968097476,1.499100711357784e-26,55.20272843475561,3.3774043613451568,-42.92357728271776,55.86212137825341,7.143133697592733,7.820394205568236,0.6878737687588705,
temporal,2024,,,,,,temperature (2023→2024),811.344711348816,960.2979924484024,149.41988950239926,-105.82481393368585,0.0,106.4963122196815,-106.26080923577385,9.798493909616836,10.844606346234807,0.6886930819880411,"{'kind': 'temperature', 'a': 0.7176044362963095}"
temporal,2024,,,,,,platt (2023→2024),816.7860998909981,960.2979924484024,143.97820896164356,-100.38342539150369,0.0,101.0546316789258,-100.76541439731784,9.68727561652401,10.40183209254807,0.6886657767250771,"{'kind': 'platt', 'a': 0.7180009811097764, 'b': -0.003339145696463066}"
temporal,2024,,,,,,isotonic (2023→2024),776.0992471199102,926.3782805965261,150.64507204742986,-141.07027816259165,-33.919711851876286,107.7214947647121,-141.53923563504605,10.980759532888305,12.889749129932593,0.6888687014173345,"{'kind': 'isotonic', 'n_knots': 77}"
temporal_rev,2023,,,,,,temperature (2024→2023),356.54452268526484,558.6520557829457,200.91752657081858,-46.53737698899761,0.0,45.93286718086796,-46.3221496831922,2.9636581608572206,15.63005824861859,0.6913869211295757,"{'kind': 'temperature', 'a': 1.0831522170511882}"
temporal_rev,2023,,,,,,platt (2024→2023),361.3896862421639,558.6520557829457,196.2511306327221,-41.69221343209853,0.0,41.26647124277147,-42.09642728547558,5.090558719437302,8.269510206166292,0.6913562515494185,"{'kind': 'platt', 'a': 1.0626771025386346, 'b': -0.02232640333139719}"
temporal_rev,2023,,,,,,isotonic (2024→2023),253.54711844602917,545.2186372485867,270.13571086363123,-149.53478122823327,-13.43341853435902,115.15105147368061,-149.69538406264996,10.14996863443693,14.748359276181578,0.6919816678164772,"{'kind': 'isotonic', 'n_knots': 102}"
