tag,subset,profile,n,BSS,Resolution,Reliability,dBSS,dResolution,paired,paired_se
A_full,all,pitcher_profile_le2023_plus.parquet,253507,820.4873470922913,832.8099643874542,16.530459062428687,-96.6821781902105,-127.48802806094818,-95.6060945200235,19.545527408170443
B_full,all,pitcher_profile_le2023_plus.parquet,253507,823.5121238671206,833.7197210938592,14.098711315984307,-93.65740141538117,-126.57827135454318,-94.08190960974865,17.908805398743134
A_hasneq0,has_history,pitcher_profile_le2023_plus.parquet,204454,793.0691284102842,820.897122744812,31.2555717038104,-91.19788685506558,-103.28966654293617,-91.57470544633699,20.99331511490537
B_hasneq0,has_history,pitcher_profile_le2023_plus.parquet,204454,798.4967506844964,816.2447073702693,20.753620788988464,-85.77026458085334,-107.94208191747884,-87.22936178910308,22.12357418415903
B_minus_A,all,pitcher_profile_le2023_plus.parquet,253507,,,,3.02477677482932,0.9097567064050054,1.524184910274841,12.911331632317898
