tag,subset,profile,n,BSS,Resolution,Reliability,dBSS,dResolution,paired,paired_se
A_full,all,pitcher_profile_le2023_basic.parquet,253507,820.4873470922913,832.8099643874542,16.530459062428687,-96.6821781902105,-127.48802806094818,-95.6060945200235,19.545527408170443
B_full,all,pitcher_profile_le2023_basic.parquet,253507,827.5179245799346,849.0977304967488,26.4021324116257,-89.65160070256718,-111.2002619516536,-90.08929806531629,17.86454350516245
A_hasneq0,has_history,pitcher_profile_le2023_basic.parquet,204454,793.0691284102842,820.897122744812,31.2555717038104,-91.19788685506558,-103.28966654293617,-91.57470544633699,20.99331511490537
B_hasneq0,has_history,pitcher_profile_le2023_basic.parquet,204454,805.1409836716705,826.9433814442957,24.88247353134122,-79.12603159367927,-97.24340784345247,-79.2488529001157,20.85164639399003
B_minus_A,all,pitcher_profile_le2023_basic.parquet,253507,,,,7.030577487643313,16.28776610929458,5.516796454707212,11.481781636960873
