model,BSS,Resolution,Reliability,dBSS,dResolution,paired,paired_se,sigma,dRes_sd,dBSS_sd
M1,919.5925598080134,961.7436860819856,43.02586479648472,2.423034525511639,1.4456936335832324,2.3975480317117723,1.2106958720358165,1.9803057787586515,,
M2_A,816.417413289113,865.2949543377831,,-100.75211199338885,-95.00303811061929,,,,6.962964930143471,1.7939017538890099
M2_B,806.8729888095372,851.4453365226709,,-110.29653647296463,-108.85265592573155,,,,5.386803057338235,3.7336981784386043
M2_B_minus_A,,,,-9.544424479575781,-13.849617815112268,-9.396126638675211,10.486003888976825,0.8960636232981639,,
